column_name,data_type,missing_values,missing_percentage,unique_values
transaction_id,str,0,0.0,1047965
procedure_id,int64,0,0.0,50
trans_group_id,int64,0,0.0,3
trans_group_ar,str,0,0.0,3
trans_group_en,str,0,0.0,3
procedure_name_ar,str,0,0.0,50
procedure_name_en,str,0,0.0,50
instance_date,str,5,0.0,6961
property_type_id,int64,0,0.0,4
property_type_ar,str,0,0.0,4
property_type_en,str,0,0.0,4
property_sub_type_id,float64,240146,22.92,17
property_sub_type_ar,str,240146,22.92,17
property_sub_type_en,str,240146,22.92,17
property_usage_ar,str,0,0.0,11
property_usage_en,str,0,0.0,11
reg_type_id,int64,0,0.0,2
reg_type_ar,str,0,0.0,2
reg_type_en,str,0,0.0,2
area_id,int64,0,0.0,253
area_name_ar,str,0,0.0,252
area_name_en,str,0,0.0,252
building_name_ar,str,328165,31.31,3371
building_name_en,str,326895,31.19,3365
project_number,float64,390593,37.27,1951
project_name_ar,str,390593,37.27,1945
project_name_en,str,390593,37.27,1943
master_project_en,str,183812,17.54,172
master_project_ar,str,183859,17.54,171
nearest_landmark_ar,str,125724,12.0,14
nearest_landmark_en,str,125724,12.0,14
nearest_metro_ar,str,236824,22.6,56
nearest_metro_en,str,236824,22.6,56
nearest_mall_ar,str,242142,23.11,5
nearest_mall_en,str,242142,23.11,5
rooms_ar,str,248935,23.75,16
rooms_en,str,248935,23.75,16
has_parking,int64,0,0.0,2
procedure_area,float64,0,0.0,78796
actual_worth,float64,3805,0.36,247728
meter_sale_price,float64,0,0.0,591398
rent_value,float64,1013666,96.73,15140
meter_rent_price,float64,1013663,96.73,13454
no_of_parties_role_1,float64,1152,0.11,190
no_of_parties_role_2,float64,1152,0.11,30
no_of_parties_role_3,float64,1152,0.11,15
